Data;Taxa de câmbio - R$ / US$ - comercial - compra - fim período - R$ - Banco Central do Brasil, Boletim, Seção Balanço de Pagamentos (Bacen / Boletim / BP) - BM12_ERCF12;
1953.01;6,68363636363636E-15;
1953.02;1,49090909090909E-14;
1953.03;1,49090909090909E-14;
1953.04;1,41818181818182E-14;
1953.05;1,56363636363636E-14;
1953.06;1,58909090909091E-14;
1953.07;1,45090909090909E-14;
1953.08;1,36363636363636E-14;
1953.09;1,34909090909091E-14;
1953.10;1,34909090909091E-14;
1953.11;1,85454545454545E-14;
1953.12;1,98181818181818E-14;
1954.01;1,92727272727273E-14;
1954.02;2,12727272727273E-14;
1954.03;2,05818181818182E-14;
1954.04;1,83636363636364E-14;
1954.05;2E-14;
1954.06;2,03636363636364E-14;
1954.07;2,12727272727273E-14;
1954.08;2,17454545454545E-14;
1954.09;2,24727272727273E-14;
1954.10;2,32727272727273E-14;
1954.11;2,52727272727273E-14;
1954.12;2,61818181818182E-14;
1955.01;2,54545454545455E-14;
1955.02;2,58181818181818E-14;
1955.03;2,67272727272727E-14;
1955.04;2,69090909090909E-14;
1955.05;2,69090909090909E-14;
1955.06;2,65454545454545E-14;
1955.07;2,52727272727273E-14;
1955.08;2,49090909090909E-14;
1955.09;2,36363636363636E-14;
1955.10;2,29090909090909E-14;
1955.11;2,30909090909091E-14;
1955.12;2,34545454545455E-14;
1956.01;2,43636363636364E-14;
1956.02;2,41818181818182E-14;
1956.03;2,47272727272727E-14;
1956.04;2,54545454545455E-14;
1956.05;2,76363636363636E-14;
1956.06;2,76363636363636E-14;
1956.07;2,54545454545455E-14;
1956.08;2,54545454545455E-14;
1956.09;2,36363636363636E-14;
1956.10;2,36363636363636E-14;
1956.11;2,29090909090909E-14;
1956.12;2,30909090909091E-14;
1957.01;2,30909090909091E-14;
1957.02;2,33818181818182E-14;
1957.03;2,30181818181818E-14;
1957.04;2,41818181818182E-14;
1957.05;2,6E-14;
1957.06;2,50909090909091E-14;
1957.07;2,61818181818182E-14;
1957.08;2,81090909090909E-14;
1957.09;2,92E-14;
1957.10;3,06545454545455E-14;
1957.11;3,32E-14;
1957.12;3,22909090909091E-14;
1958.01;3,50181818181818E-14;
1958.02;3,52E-14;
1958.03;3,86545454545455E-14;
1958.04;4,37454545454545E-14;
1958.05;4,45454545454545E-14;
1958.06;4,73818181818182E-14;
1958.07;4,81090909090909E-14;
1958.08;5,53818181818182E-14;
1958.09;5,61090909090909E-14;
1958.10;5,08363636363636E-14;
1958.11;4,92E-14;
1958.12;5,01090909090909E-14;
1959.01;5,13818181818182E-14;
1959.02;4,97454545454545E-14;
